"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"VPS13C-DT",1.13463462352941,4.02508356818182,16.8909118706169,1.36546299932428e-20,4.4308116162452e-20,36.4471150031058
"ATP6V0A2",1.42822277647059,3.41965975,16.890864487694,1.36560657541423e-20,4.4308116162452e-20,36.4470084446909
"EME2",1.46107258235294,6.01914759090909,16.8871335208108,1.37696033860777e-20,4.46692623530215e-20,36.4386172521983
"ADCY1",1.44187635294118,3.82949243181818,16.8856885660413,1.38138332393447e-20,4.48054901960091e-20,36.435367079878
"LRRC25",1.20792270588235,4.05343440909091,16.8850271793031,1.38341265033487e-20,4.48640476145509e-20,36.4338793369235
"STPG1",1.68695054117647,3.40614611363637,16.8819221394263,1.39298053454668e-20,4.51670217999987e-20,36.4268941846729
"LOC101928251",1.1561471,4.32312852272727,16.8778245900841,1.40571012841747e-20,4.55723989196615e-20,36.4176747931492
"SNORD114-3",2.50129812941176,4.63930702272727,16.8775200943417,1.40666080854971e-20,4.55958403185564e-20,36.4169896178609
"ZNF160",1.97881165294118,9.80556195454545,16.8752740210235,1.41369366512396e-20,4.58163913602382e-20,36.4119352253612
"NUP62",1.36923372352941,4.1372355,16.8666250311032,1.44111180263418e-20,4.66974306541052e-20,36.392467492242
"RXFP1",1.02869632352941,4.05386372727273,16.8655930144582,1.4444194135299e-20,4.67970397732994e-20,36.3901440602769
"LINC02199",1.28543033529412,3.67769129545455,16.8643792104964,1.4483195623108e-20,4.6915810918839e-20,36.3874112250523
"MIATNB",1.54082712352941,3.84790211363637,16.8629222113161,1.45301532363951e-20,4.70603119856858e-20,36.3841306503081
"IFI27L1",1.11643621764706,3.64273940909091,16.861724881683,1.45688581735053e-20,4.71780418576881e-20,36.3814345879295
"PTGER2",3.39885504705882,8.81920652272727,16.85818704632,1.46838379089912e-20,4.75426929033315e-20,36.3734675029192
"ATP1A2",1.43436598235294,4.17764177272727,16.8565756611779,1.47365143128946e-20,4.77055356683749e-20,36.369838303722
"PTENP1",1.56005218823529,4.87493963636364,16.8555896443082,1.47688423464781e-20,4.78024640304815e-20,36.3676174455391
"POLB",1.17231264117647,7.03754177272728,16.8489025127844,1.49900070323369e-20,4.85104718694302e-20,36.3525530990419
"SCN7A",2.30594059411765,4.55260461363636,16.8465697534053,1.50679510275484e-20,4.87548368573495e-20,36.3472969544033
"ANKRD12",1.30764664705882,4.77048186363636,16.8459087051323,1.50901135645952e-20,4.88186619712486e-20,36.3458073896253
"RSBN1",1.56772067058824,3.92814077272727,16.8400847941912,1.52868104662782e-20,4.94470187728862e-20,36.3326822643917
"DNAJB7",1.36012767058824,5.00255518181818,16.8368518309366,1.53971273216212e-20,4.97958111893311e-20,36.3253947939554
"KIF24",1.97393667647059,7.01830538636364,16.8365604769058,1.54071088518678e-20,4.98200491558701e-20,36.3247379971313
"EGLN3",1.11820797647059,4.01464075,16.8361015269954,1.54228454550171e-20,4.98628857577311e-20,36.32370337316
"TMCO5A",1.44629713529412,3.53883406818182,16.8342882234153,1.54851810127025e-20,5.0056341140303e-20,36.3196153845895
"ZNF214",-2.91606320588235,7.29994152272727,-16.8326095428495,1.55431176977943e-20,5.02355168961304e-20,36.315830602467
"MLLT11",3.91365999411765,5.26654575,16.8293649499205,1.56557264535241e-20,5.05913070361339e-20,36.3085144877333
